WA_NDB_No,WA_Shrt_Desc, Edible ,Tagname,NutrDesc,Units,Nutr_Val
02_004,Cassava flour,90,ASH,Ash,g,2.25
02_004,Cassava flour,90,CA,"Calcium, Ca",mg,137.5
02_004,Cassava flour,90,CARTB,"Carotene, beta",mcg,
02_004,Cassava flour,90,CARTBEQ,"Carotene equivalent, beta",mcg,
02_004,Cassava flour,90,CHOCDF,Carbohydrate,g,78.8
02_004,Cassava flour,90,CU,"Copper, Cu",mg,0.22
02_004,Cassava flour,90,ENERC_KCAL,Energy,kcal,335
02_004,Cassava flour,90,ENERC_KJ,Energy,kJ,1420
02_004,Cassava flour,90,FAT,Total lipid (fat),g,0.48
02_004,Cassava flour,90,FE,"Iron, Fe",mg,1.5
02_004,Cassava flour,90,FIBTG,"Fiber, total dietary",g,3.9
02_004,Cassava flour,90,FOL,Folate,mcg,47
02_004,Cassava flour,90,K,"Potassium, K",mg,586.7
02_004,Cassava flour,90,MG,"Magnesium, Mg",mg,45.46
02_004,Cassava flour,90,NA,"Sodium, Na",mg,30.31
02_004,Cassava flour,90,NIA,Niacin,mg,1.23
02_004,Cassava flour,90,P,"Phosphorus, P",mg,102.33
02_004,Cassava flour,90,PROCNT,Protein,g,1.89
02_004,Cassava flour,90,RETOL,Retinol,mcg,0
02_004,Cassava flour,90,RIBF,Riboflavin,mg,0.11
02_004,Cassava flour,90,THIA,Thiamin,mg,0.07
02_004,Cassava flour,90,VITA_RAE,"Vitamin A, RAE",mcg,
02_004,Cassava flour,90,VITB12,Vitamin B-12,mcg,0
02_004,Cassava flour,90,VITB6A,Vitamin B-6,mg,0.17
02_004,Cassava flour,90,VITC,"Vitamin C, total ascorbic acid",mg,4
02_004,Cassava flour,90,VITD,Vitamin D,mcg,0
02_004,Cassava flour,90,VITE,Vitamin E,mg,0.35
02_004,Cassava flour,90,WATER,Water,g,12.71
02_004,Cassava flour,90,ZN,"Zinc, Zn",mg,0.74
02_021,"Cassava sweet, tuber, dried",90,ASH,Ash,g,2.9
02_021,"Cassava sweet, tuber, dried",90,CA,"Calcium, Ca",mg,121
02_021,"Cassava sweet, tuber, dried",90,CARTB,"Carotene, beta",mcg,
02_021,"Cassava sweet, tuber, dried",90,CARTBEQ,"Carotene equivalent, beta",mcg,
02_021,"Cassava sweet, tuber, dried",90,CHOCDF,Carbohydrate,g,82.52
02_021,"Cassava sweet, tuber, dried",90,CU,"Copper, Cu",mg,0.23
02_021,"Cassava sweet, tuber, dried",90,ENERC_KCAL,Energy,kcal,348
02_021,"Cassava sweet, tuber, dried",90,ENERC_KJ,Energy,kJ,1480
02_021,"Cassava sweet, tuber, dried",90,FAT,Total lipid (fat),g,0.5
02_021,"Cassava sweet, tuber, dried",90,FE,"Iron, Fe",mg,1.6
02_021,"Cassava sweet, tuber, dried",90,FIBTG,"Fiber, total dietary",g,4.08
02_021,"Cassava sweet, tuber, dried",90,FOL,Folate,mcg,48
02_021,"Cassava sweet, tuber, dried",90,K,"Potassium, K",mg,613.65
02_021,"Cassava sweet, tuber, dried",90,MG,"Magnesium, Mg",mg,47.55
02_021,"Cassava sweet, tuber, dried",90,NA,"Sodium, Na",mg,31.7
02_021,"Cassava sweet, tuber, dried",90,NIA,Niacin,mg,1.5
02_021,"Cassava sweet, tuber, dried",90,P,"Phosphorus, P",mg,118
02_021,"Cassava sweet, tuber, dried",90,PROCNT,Protein,g,1.3
02_021,"Cassava sweet, tuber, dried",90,RETOL,Retinol,mcg,0
02_021,"Cassava sweet, tuber, dried",90,RIBF,Riboflavin,mg,0.11
02_021,"Cassava sweet, tuber, dried",90,THIA,Thiamin,mg,0.08
02_021,"Cassava sweet, tuber, dried",90,VITA_RAE,"Vitamin A, RAE",mcg,
02_021,"Cassava sweet, tuber, dried",90,VITB12,Vitamin B-12,mcg,0
02_021,"Cassava sweet, tuber, dried",90,VITB6A,Vitamin B-6,mg,0.18
02_021,"Cassava sweet, tuber, dried",90,VITC,"Vitamin C, total ascorbic acid",mg,4.7
02_021,"Cassava sweet, tuber, dried",90,VITD,Vitamin D,mcg,0
02_021,"Cassava sweet, tuber, dried",90,VITE,Vitamin E,mg,0.43
02_021,"Cassava sweet, tuber, dried",90,WATER,Water,g,8.7
02_021,"Cassava sweet, tuber, dried",90,ZN,"Zinc, Zn",mg,0.77
02_003,"Cassava, tuber, boiled* (without salt)",90,ASH,Ash,g,1.02
02_003,"Cassava, tuber, boiled* (without salt)",90,CA,"Calcium, Ca",mg,42.83
02_003,"Cassava, tuber, boiled* (without salt)",90,CARTB,"Carotene, beta",mcg,
02_003,"Cassava, tuber, boiled* (without salt)",90,CARTBEQ,"Carotene equivalent, beta",mcg,15
02_003,"Cassava, tuber, boiled* (without salt)",90,CHOCDF,Carbohydrate,g,37.43
02_003,"Cassava, tuber, boiled* (without salt)",90,CU,"Copper, Cu",mg,0.09
02_003,"Cassava, tuber, boiled* (without salt)",90,ENERC_KCAL,Energy,kcal,161
02_003,"Cassava, tuber, boiled* (without salt)",90,ENERC_KJ,Energy,kJ,682
02_003,"Cassava, tuber, boiled* (without salt)",90,FAT,Total lipid (fat),g,0.27
02_003,"Cassava, tuber, boiled* (without salt)",90,FE,"Iron, Fe",mg,0.7
02_003,"Cassava, tuber, boiled* (without salt)",90,FIBTG,"Fiber, total dietary",g,1.89
02_003,"Cassava, tuber, boiled* (without salt)",90,FOL,Folate,mcg,15.92
02_003,"Cassava, tuber, boiled* (without salt)",90,K,"Potassium, K",mg,228.21
02_003,"Cassava, tuber, boiled* (without salt)",90,MG,"Magnesium, Mg",mg,19.89
02_003,"Cassava, tuber, boiled* (without salt)",90,NA,"Sodium, Na",mg,11.79
02_003,"Cassava, tuber, boiled* (without salt)",90,NIA,Niacin,mg,0.53
02_003,"Cassava, tuber, boiled* (without salt)",90,P,"Phosphorus, P",mg,45.52
02_003,"Cassava, tuber, boiled* (without salt)",90,PROCNT,Protein,g,1.21
02_003,"Cassava, tuber, boiled* (without salt)",90,RETOL,Retinol,mcg,0
02_003,"Cassava, tuber, boiled* (without salt)",90,RIBF,Riboflavin,mg,0.05
02_003,"Cassava, tuber, boiled* (without salt)",90,THIA,Thiamin,mg,0.03
02_003,"Cassava, tuber, boiled* (without salt)",90,VITA_RAE,"Vitamin A, RAE",mcg,1.25
02_003,"Cassava, tuber, boiled* (without salt)",90,VITB12,Vitamin B-12,mcg,0
02_003,"Cassava, tuber, boiled* (without salt)",90,VITB6A,Vitamin B-6,mg,0.07
02_003,"Cassava, tuber, boiled* (without salt)",90,VITC,"Vitamin C, total ascorbic acid",mg,22
02_003,"Cassava, tuber, boiled* (without salt)",90,VITD,Vitamin D,mcg,0
02_003,"Cassava, tuber, boiled* (without salt)",90,VITE,Vitamin E,mg,0.2
02_003,"Cassava, tuber, boiled* (without salt)",90,WATER,Water,g,58.17
02_003,"Cassava, tuber, boiled* (without salt)",90,ZN,"Zinc, Zn",mg,0.32
02_002,"Cassava, tuber, dried",90,ASH,Ash,g,2.5
02_002,"Cassava, tuber, dried",90,CA,"Calcium, Ca",mg,102
02_002,"Cassava, tuber, dried",90,CARTB,"Carotene, beta",mcg,
02_002,"Cassava, tuber, dried",90,CARTBEQ,"Carotene equivalent, beta",mcg,
02_002,"Cassava, tuber, dried",90,CHOCDF,Carbohydrate,g,81.36
02_002,"Cassava, tuber, dried",90,CU,"Copper, Cu",mg,0.22
02_002,"Cassava, tuber, dried",90,ENERC_KCAL,Energy,kcal,347
02_002,"Cassava, tuber, dried",90,ENERC_KJ,Energy,kJ,1470
02_002,"Cassava, tuber, dried",90,FAT,Total lipid (fat),g,0.6
02_002,"Cassava, tuber, dried",90,FE,"Iron, Fe",mg,1.6
02_002,"Cassava, tuber, dried",90,FIBTG,"Fiber, total dietary",g,4.04
02_002,"Cassava, tuber, dried",90,FOL,Folate,mcg,47
02_002,"Cassava, tuber, dried",90,K,"Potassium, K",mg,608.94
02_002,"Cassava, tuber, dried",90,MG,"Magnesium, Mg",mg,47.19
02_002,"Cassava, tuber, dried",90,NA,"Sodium, Na",mg,31.46
02_002,"Cassava, tuber, dried",90,NIA,Niacin,mg,1.5
02_002,"Cassava, tuber, dried",90,P,"Phosphorus, P",mg,98
02_002,"Cassava, tuber, dried",90,PROCNT,Protein,g,2.1
02_002,"Cassava, tuber, dried",90,RETOL,Retinol,mcg,0
02_002,"Cassava, tuber, dried",90,RIBF,Riboflavin,mg,0.11
02_002,"Cassava, tuber, dried",90,THIA,Thiamin,mg,0.08
02_002,"Cassava, tuber, dried",90,VITA_RAE,"Vitamin A, RAE",mcg,
02_002,"Cassava, tuber, dried",90,VITB12,Vitamin B-12,mcg,0
02_002,"Cassava, tuber, dried",90,VITB6A,Vitamin B-6,mg,0.18
02_002,"Cassava, tuber, dried",90,VITC,"Vitamin C, total ascorbic acid",mg,5
02_002,"Cassava, tuber, dried",90,VITD,Vitamin D,mcg,0
02_002,"Cassava, tuber, dried",90,VITE,Vitamin E,mg,0.43
02_002,"Cassava, tuber, dried",90,WATER,Water,g,9.4
02_002,"Cassava, tuber, dried",90,ZN,"Zinc, Zn",mg,0.76
02_001,"Cassava, tuber, raw",90,ASH,Ash,g,0.97
02_001,"Cassava, tuber, raw",90,CA,"Calcium, Ca",mg,42.83
02_001,"Cassava, tuber, raw",90,CARTB,"Carotene, beta",mcg,
02_001,"Cassava, tuber, raw",90,CARTBEQ,"Carotene equivalent, beta",mcg,15
02_001,"Cassava, tuber, raw",90,CHOCDF,Carbohydrate,g,35.56
02_001,"Cassava, tuber, raw",90,CU,"Copper, Cu",mg,0.1
02_001,"Cassava, tuber, raw",90,ENERC_KCAL,Energy,kcal,153
02_001,"Cassava, tuber, raw",90,ENERC_KJ,Energy,kJ,648
02_001,"Cassava, tuber, raw",90,FAT,Total lipid (fat),g,0.26
02_001,"Cassava, tuber, raw",90,FE,"Iron, Fe",mg,0.7
02_001,"Cassava, tuber, raw",90,FIBTG,"Fiber, total dietary",g,1.8
02_001,"Cassava, tuber, raw",90,FOL,Folate,mcg,24
02_001,"Cassava, tuber, raw",90,K,"Potassium, K",mg,271
02_001,"Cassava, tuber, raw",90,MG,"Magnesium, Mg",mg,21
02_001,"Cassava, tuber, raw",90,NA,"Sodium, Na",mg,14
02_001,"Cassava, tuber, raw",90,NIA,Niacin,mg,0.68
02_001,"Cassava, tuber, raw",90,P,"Phosphorus, P",mg,46.5
02_001,"Cassava, tuber, raw",90,PROCNT,Protein,g,1.15
02_001,"Cassava, tuber, raw",90,RETOL,Retinol,mcg,0
02_001,"Cassava, tuber, raw",90,RIBF,Riboflavin,mg,0.05
02_001,"Cassava, tuber, raw",90,THIA,Thiamin,mg,0.04
02_001,"Cassava, tuber, raw",90,VITA_RAE,"Vitamin A, RAE",mcg,1.25
02_001,"Cassava, tuber, raw",90,VITB12,Vitamin B-12,mcg,0
02_001,"Cassava, tuber, raw",90,VITB6A,Vitamin B-6,mg,0.09
02_001,"Cassava, tuber, raw",90,VITC,"Vitamin C, total ascorbic acid",mg,30
02_001,"Cassava, tuber, raw",90,VITD,Vitamin D,mcg,0
02_001,"Cassava, tuber, raw",90,VITE,Vitamin E,mg,0.19
02_001,"Cassava, tuber, raw",90,WATER,Water,g,60.26
02_001,"Cassava, tuber, raw",90,ZN,"Zinc, Zn",mg,0.34
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,ASH,Ash,g,0.92
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,CA,"Calcium, Ca",mg,21.25
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,28.88
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.18
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,147
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,622
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,FAT,Total lipid (fat),g,1.3
