Code_Local,Item_Local,Code_FAOFBS,Item_FAOFBS,PHYTAC,PCT2_Local,PCT2_FAO,Code_FAOPIE,Item_FAOPIE,PCT1,NDB_No,Shrt_Desc
1,Avocado,2625,"Fruits, Other",21.4,100,1.84,572,Avocados,100,9037,"Avocados, raw, all commercial varieties"
2,Cabbage,2605,"Vegetables, Other",15,100,23.22,358,Cabbages and other brassicas,40.2,11110,"Cabbage, cooked, boiled, drained, without salt"
3,Carrots,2605,"Vegetables, Other",15,100,8.1,426,Carrots and turnips,27,11125,"Carrots, cooked, boiled, drained, without salt"
4,Eggplant,2605,"Vegetables, Other",15,100,10.15,399,Eggplants (aubergines),100,11210,"Eggplant, cooked, boiled, drained, without salt"
5,Mango,2625,"Fruits, Other",21.4,100,18.36,571,"Mangoes, mangosteens, guavas",80,9176,"Mangos, raw"
6,Papaya,2625,"Fruits, Other",21.4,100,4.22,600,Papayas,100,9226,"Papayas, raw"
7,Pumpkin,2605,"Vegetables, Other",15,100,6.78,394,"Pumpkins, squash and gourds",22,11423,"Pumpkin, cooked, boiled, drained, without salt"
8,"Beans, green",2546,Beans,401,100,9,414,"Beans, green",100,16023,"Beans, french, mature seeds, cooked, boiled, without salt"
9,"Beans, dry",2546,Beans,401,100,81,176,"Beans, dry",67,16081,"Mung beans, mature seeds, cooked, boiled, without salt"
10,Cashew,2551,Nuts and products,2131,25,1,230,"Cashew nuts, shelled",50,12085,"Nuts, cashew nuts, dry roasted, without salt added"
10,Cashew,2551,Nuts and products,2131,25,25,217,"Cashew nuts, with shell",50,12085,"Nuts, cashew nuts, dry roasted, without salt added"
10,Cashew,2551,Nuts and products,2131,25,1,230,"Cashew nuts, shelled",50,12087,"Nuts, cashew nuts, raw"
10,Cashew,2551,Nuts and products,2131,25,25,217,"Cashew nuts, with shell",50,12087,"Nuts, cashew nuts, raw"
11,Apricots,2625,"Fruits, Other",21.4,80,0.02,527,"Apricots, dry",100,9032,"Apricots, dried, sulfured, uncooked"
11,Apricots,2625,"Fruits, Other",21.4,20,2.31,526,Apricots,100,9021,"Apricots, raw"
12,Artichokes,2605,"Vegetables, Other",15,100,0.32,366,Artichokes,100,11008,"Artichokes, (globe or french), cooked, boiled, drained, without salt"
13,Asparagus,2605,"Vegetables, Other",15,100,1.02,367,Asparagus,100,11012,"Asparagus, cooked, boiled, drained"
14,Garlic,2605,"Vegetables, Other",15,100,4.9,406,Garlic,100,11215,"Garlic, raw"
15,Cucumbers and gherkins,2605,"Vegetables, Other",15,100,15.08,397,Cucumbers and gherkins,100,11205,"Cucumber, with peel, raw"
16,Cow pea,2549,"Pulses, Other and products",305,100,25,195,"Cow peas, dry",100,16063,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt"
2560,Coconuts - Incl Copra,2560,Coconuts - Incl Copra,300,1,1,250,"Coconuts, desiccated",100,12108,"Nuts, coconut meat, dried (desiccated), not sweetened"
2560,Coconuts - Incl Copra,2560,Coconuts - Incl Copra,300,1,1,251,Copra,100,12108,"Nuts, coconut meat, dried (desiccated), not sweetened"
2560,Coconuts - Incl Copra,2560,Coconuts - Incl Copra,300,98,98,249,Coconuts,77,12104,"Nuts, coconut meat, raw"
2560,Coconuts - Incl Copra,2560,Coconuts - Incl Copra,300,98,98,249,Coconuts,23,12119,"Nuts, coconut water (liquid from coconuts)"
19,Chick peas,2549,"Pulses, Other and products",305,100,40,191,Chick peas,100,16057,"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt"
20,Cauliflowers and broccoli,2605,"Vegetables, Other",15,60,3.58,393,Cauliflowers and broccoli,33,11091,"Broccoli, cooked, boiled, drained, without salt"
20,Cauliflowers and broccoli,2605,"Vegetables, Other",15,30,3.58,393,Cauliflowers and broccoli,34,11136,"Cauliflower, cooked, boiled, drained, without salt"
20,Cauliflowers and broccoli,2605,"Vegetables, Other",15,10,3.58,393,Cauliflowers and broccoli,33,11135,"Cauliflower, raw"
17,Lentils,2549,"Pulses, Other and products",305,100,16,201,Lentils,100,16070,"Lentils, mature seeds, cooked, boiled, without salt"
21,Lettuce and chicory,2605,"Vegetables, Other",15,100,8.48,372,Lettuce and chicory,100,11253,"Lettuce, green leaf, raw"
22,Linseed,2570,"Oilcrops, Other",1200,100,29,333,Linseed,100,12220,"Seeds, flaxseed"
